精选,#genre#
BBCWorldNews,http://198.16.100.90:8278/bbcnews_twn/playlist.m3u8?tid=MF3F9344101593441015&ct=19254&tsum=ee2dfdc43081584c1c81ddf78256bf30
俄罗斯RTNews,https://rt-glb.rttv.com/live/rtnews/playlist_4500Kb.m3u8#https://rt-glb.rttv.com/live/rtnews/playlist_2500Kb.m3u8
TVBRICSChinese,https://brics.bonus-tv.ru/cdn/brics/chinese/tracks-v1a1/mono.m3u8
俄国斯红星电视台,https://tvchannelstream1.tvzvezda.ru/cdn/tvzvezda/playlist_hdhigh.m3u8
俄罗斯RTDoc,https://rt-rtd.rttv.com/live/rtdoc/playlist_4500Kb.m3u8#https://rt-rtd.rttv.com/live/rtdoc/playlist_2500Kb.m3u8
News24 Japan,https://n24-cdn-live.ntv.co.jp/ch01/index.m3u8
新唐人大陸台,http://cnhls.ntdtv.com/cn/live800/playlist.m3u8
BBC World News,http://103.199.161.254/Content/bbcworld/Live/Channel(BBCworld)/index.m3u8#http://125.227.210.37:10246/VideoInput/play.ts#http://gcs2.xyz:2052/anh/123/1109862
Al-Jazeera English,https://live-hls-web-aje.getaj.net/AJE/01.m3u8#http://live-hls-web-aje.getaj.net/AJE/index.m3u8

4KV4V6,#genre#
FTV4KV4,http://fash2043.cloudycdn.services//slive/_definst_/ftv_ftv_4k_hevc_73d_42080_default_466_hls.smil/chunklist_b10668000_t64NGs=.m3u8
4K测试V4,http://39.135.140.104:6610/PLTV/88888888/224/3221225786/1/index.m3u8?fmt=ts2hls
苏州4kV4,http://liveshowbak2.kan0512.com/ksz-norecord/csztv4k_4k.m3u8?zjiangsd
欢笑剧场V4,http://zteres.sn.chinamobile.com:6060/000000001000/5000000007000010001/1.m3u8?channel-id=bestzb&Contentid=5000000007000010001&livemode=1&stbId=3
测试4KV6,http://2409:8087:5e01:34::23:6610/ZTE_CMS/00000001000000060000000000000459/index.m3u8?IAS
4K电影V6,http://2409:8087:5e01:34::22:6610/ZTE_CMS/00000001000000060000000000000459/index.m3u8?IAS
CCTV4KV4,http://159.75.85.63:5679/cctv4k.php
欢笑剧场4KV6,http://2409:8087:7004:20:1000::22:6610/yinhe/2/ch00000090990000002156/index.m3u8?virtualDomain=yinhe.live_hls.zte.com
欢笑剧场4KV4,http://zteres.sn.chinamobile.com:6060/yinhe/2/ch00000090990000002156/index.m3u8?virtualDomain=yinhe.live_hls.zte.com
4K测试V6,http://2409:8087:5e01:34::20:6610/ZTE_CMS/00000001000000060000000000000459/index.m3u8?IAS
苏州4KV4,http://liveshowbak2.kan0512.com/norecord/csztv4k_4k.m3u8
华数超清V6,http://2409:8087:7001:20:1000::95:6610/000000001000/6000000003000004748/index.m3u8?channel-id=wasusyt&Contentid=6000000003000004748&livemode=1&stbId=3
BesTV-4KV4,https://epg.pw/stream/05bdd4d5916a4d3a5bdbaa3b5cc37bb5fa7d4d4ff26a3f5b8326dbb622e39aa1.ctv
北京纪实8KV4[7680*4320],http://49.7.69.235/downflv.brtvcloud.com/8klive/8kliveok.m3u8
华数4KV4,http://zteres.sn.chinamobile.com:6060/000000001000/6000000003000004748/index.m3u8?channel-id=wasusyt&Contentid=6000000003000004748&livemode=1&stbId=3

江西移动V4,#genre#
新华社,http://39.135.140.104:6610/PLTV/88888888/224/3221226297/1/index.m3u8?fmt=ts2hls
凤凰中文,http://39.135.140.104:6610/PLTV/88888888/224/3221226248/1/index.m3u8?fmt=ts2hls
凤凰香港,http://39.135.140.104:6610/PLTV/88888888/224/3221226251/1/index.m3u8?fmt=ts2hls
凤凰资讯,http://39.135.140.104:6610/PLTV/88888888/224/3221226274/1/index.m3u8?fmt=ts2hls
CCTV1,http://39.135.140.104:6610/PLTV/88888888/224/3221225762/1/index.m3u8?fmt=ts2hls#http://39.135.140.104:6610/PLTV/88888888/224/3221226225/1/index.m3u8?fmt=ts2hls#http://39.135.140.104:6610/PLTV/88888888/224/3221225618/1/index.m3u8?fmt=ts2hls#,http://39.135.140.104:6610/PLTV/88888888/224/3221225501/1/index.m3u8?fmt=ts2hls#http://39.135.140.104:6610/PLTV/88888888/224/3221226221/1/index.m3u8?fmt=ts2hls#http://39.135.140.104:6610/PLTV/88888888/224/3221225642/1/index.m3u8?fmt=ts2hls#http://39.135.140.104:6610/PLTV/88888888/224/3221225573/1/index.m3u8?fmt=ts2hls#http://39.135.140.104:6610/PLTV/88888888/224/3221225694/1/index.m3u8?fmt=ts2hls#http://39.135.140.104:6610/PLTV/88888888/224/3221225918/1/index.m3u8?fmt=ts2hls
CCTV2,http://39.135.140.104:6610/PLTV/88888888/224/3221225619/1/index.m3u8?fmt=ts2hls#http://39.135.140.104:6610/PLTV/88888888/224/3221225572/1/index.m3u8?fmt=ts2hls#http://39.135.140.104:6610/PLTV/88888888/224/3221225500/1/index.m3u8?fmt=ts2hls#http://39.135.140.104:6610/PLTV/88888888/224/3221225643/1/index.m3u8?fmt=ts2hls
CCTV3,http://39.135.140.104:6610/PLTV/88888888/224/3221225647/1/index.m3u8?fmt=ts2hls#http://39.135.140.104:6610/PLTV/88888888/224/3221225634/1/index.m3u8?fmt=ts2hls
CCTV4,http://39.135.140.104:6610/PLTV/88888888/224/3221226277/1/index.m3u8?fmt=ts2hls#http://39.135.140.104:6610/PLTV/88888888/224/3221225571/1/index.m3u8?fmt=ts2hls#http://39.135.140.104:6610/PLTV/88888888/224/3221225621/1/index.m3u8?fmt=ts2hls
CCTV5,http://39.135.140.104:6610/PLTV/88888888/224/3221225648/1/index.m3u8?fmt=ts2hls#http://39.135.140.104:6610/PLTV/88888888/224/3221225633/1/index.m3u8?fmt=ts2hls#http://39.135.140.104:6610/PLTV/88888888/224/3221225622/1/index.m3u8?fmt=ts2hls3http://39.135.140.104:6610/PLTV/88888888/224/3221225767/1/index.m3u8?fmt=ts2hls
CCTV6,http://39.135.140.104:6610/PLTV/88888888/224/3221225650/1/index.m3u8?fmt=ts2hls#http://39.135.140.104:6610/PLTV/88888888/224/3221225632/1/index.m3u8?fmt=ts2hls
CCTV7,http://39.135.140.104:6610/PLTV/88888888/224/3221225644/1/index.m3u8?fmt=ts2hls#http://39.135.140.104:6610/PLTV/88888888/224/3221226280/1/index.m3u8?fmt=ts2hls#http://39.135.140.104:6610/PLTV/88888888/224/3221225499/1/index.m3u8?fmt=ts2hls#http://39.135.140.104:6610/PLTV/88888888/224/3221225624/1/index.m3u8?fmt=ts2hls#http://39.135.140.104:6610/PLTV/88888888/224/3221225570/1/index.m3u8?fmt=ts2hls
CCTV8,http://39.135.140.104:6610/PLTV/88888888/224/3221225631/1/index.m3u8?fmt=ts2hls#http://39.135.140.104:6610/PLTV/88888888/224/3221225635/1/index.m3u8?fmt=ts2hls
CCTV9,http://39.135.140.104:6610/PLTV/88888888/224/3221226257/1/index.m3u8?fmt=ts2hls#http://39.135.140.104:6610/PLTV/88888888/224/3221225626/1/index.m3u8?fmt=ts2hls#http://39.135.140.104:6610/PLTV/88888888/224/3221225646/1/index.m3u8?fmt=ts2hls#http://39.135.140.104:6610/PLTV/88888888/224/3221225920/1/index.m3u8?fmt=ts2hls
CCTV10,http://39.135.140.104:6610/PLTV/88888888/224/3221226264/1/index.m3u8?fmt=ts2hls#http://39.135.140.104:6610/PLTV/88888888/224/3221225496/1/index.m3u8?fmt=ts2hls#http://39.135.140.104:6610/PLTV/88888888/224/3221225627/1/index.m3u8?fmt=ts2hls#http://39.135.140.104:6610/PLTV/88888888/224/3221225636/1/index.m3u8?fmt=ts2hls#http://39.135.140.104:6610/PLTV/88888888/224/3221225569/1/index.m3u8?fmt=ts2hls
CCTV11,http://39.135.140.104:6610/PLTV/88888888/224/3221226283/1/index.m3u8?fmt=ts2hls#http://39.135.140.104:6610/PLTV/88888888/224/3221225628/1/index.m3u8?fmt=ts2hls#http://39.135.140.104:6610/PLTV/88888888/224/3221225568/1/index.m3u8?fmt=ts2hls#http://39.135.140.104:6610/PLTV/88888888/224/3221226254/1/index.m3u8?fmt=ts2hls
CCTV12,http://39.135.140.104:6610/PLTV/88888888/224/3221225495/1/index.m3u8?fmt=ts2hls#http://39.135.140.104:6610/PLTV/88888888/224/3221225637/1/index.m3u8?fmt=ts2hls#http://39.135.140.104:6610/PLTV/88888888/224/3221225567/1/index.m3u8?fmt=ts2hls3http://39.135.140.104:6610/PLTV/88888888/224/3221225629/1/index.m3u8?fmt=ts2hls#http://39.135.140.104:6610/PLTV/88888888/224/3221226267/1/index.m3u8?fmt=ts2hls
CCTV13,http://39.135.140.104:6610/PLTV/88888888/224/3221225638/1/index.m3u8?fmt=ts2hls
CCTV14,http://39.135.140.104:6610/PLTV/88888888/224/3221225640/1/index.m3u8?fmt=ts2hls#http://39.135.140.104:6610/PLTV/88888888/224/3221225639/1/index.m3u8?fmt=ts2hls#http://39.135.140.104:6610/PLTV/88888888/224/3221226289/1/index.m3u8?fmt=ts2hls3http://39.135.140.104:6610/PLTV/88888888/224/3221225565/1/index.m3u8?fmt=ts2hls#http://39.135.140.104:6610/PLTV/88888888/224/3221225494/1/index.m3u8?fmt=ts2hls
CCTV15,http://39.135.140.104:6610/PLTV/88888888/224/3221225641/1/index.m3u8?fmt=ts2hls#http://39.135.140.104:6610/PLTV/88888888/224/3221226292/1/index.m3u8?fmt=ts2hls
CCTV16,http://39.135.140.104:6610/PLTV/88888888/224/3221226232/1/index.m3u8?fmt=ts2hls#http://39.135.140.104:6610/PLTV/88888888/224/3221226236/1/index.m3u8?fmt=ts2hls#http://39.135.140.104:6610/PLTV/88888888/224/3221226230/1/index.m3u8?fmt=ts2hls#http://39.135.140.104:6610/PLTV/88888888/224/3221226233/1/index.m3u8?fmt=ts2hls
CCTV17,http://39.135.140.104:6610/PLTV/88888888/224/3221225909/1/index.m3u8?fmt=ts2hls#http://39.135.140.104:6610/PLTV/88888888/224/3221225907/1/index.m3u8?fmt=ts2hls#http://39.135.140.104:6610/PLTV/88888888/224/3221226270/1/index.m3u8?fmt=ts2hls#http://39.135.140.104:6610/PLTV/88888888/224/3221225908/1/index.m3u8?fmt=ts2hls#http://39.135.140.104:6610/PLTV/88888888/224/3221225910/1/index.m3u8?fmt=ts2hls
CCTV5+,http://39.135.140.104:6610/PLTV/88888888/224/3221225649/1/index.m3u8?fmt=ts2hls#http://39.135.140.104:6610/PLTV/88888888/224/3221225706/1/index.m3u8?fmt=ts2hls
CETV1,http://39.135.140.104:6610/PLTV/88888888/224/3221225917/1/index.m3u8?fmt=ts2hls#http://39.135.140.104:6610/PLTV/88888888/224/3221225563/1/index.m3u8?fmt=ts2hls#http://39.135.140.104:6610/PLTV/88888888/224/3221225661/1/index.m3u8?fmt=ts2hls
CETV2,http://39.135.140.104:6610/PLTV/88888888/224/3221226242/1/index.m3u8?fmt=ts2hls
CETV4,http://39.135.140.104:6610/PLTV/88888888/224/3221225969/1/index.m3u8?fmt=ts2hls
CETV4,http://39.135.140.104:6610/PLTV/88888888/224/3221225937/1/index.m3u8?fmt=ts2hls
浙江卫视,http://39.135.140.104:6610/PLTV/88888888/224/3221225491/1/index.m3u8?fmt=ts2hls
四川卫视,http://39.135.140.104:6610/PLTV/88888888/224/3221225487/1/index.m3u8?fmt=ts2hls#http://39.135.140.104:6610/PLTV/88888888/224/3221225532/1/index.m3u8?fmt=ts2hls
贵州卫视,http://39.135.140.104:6610/PLTV/88888888/224/3221225483/1/index.m3u8?fmt=ts2hls
天津卫视,http://39.135.140.104:6610/PLTV/88888888/224/3221225485/1/index.m3u8?fmt=ts2hls
湖南卫视,http://39.135.140.104:6610/PLTV/88888888/224/3221225490/1/index.m3u8?fmt=ts2hls
东方卫视,http://39.135.140.104:6610/PLTV/88888888/224/3221225489/1/index.m3u8?fmt=ts2hls#http://39.135.140.104:6610/PLTV/88888888/224/3221225561/1/index.m3u8?fmt=ts2hls
江西卫视,http://39.135.140.104:6610/PLTV/88888888/224/3221225492/1/index.m3u8?fmt=ts2hls
江苏卫视,http://39.135.140.104:6610/PLTV/88888888/224/3221225488/1/index.m3u8?fmt=ts2hls
山东卫视,http://39.135.140.104:6610/PLTV/88888888/224/3221225484/1/index.m3u8?fmt=ts2hls
河南卫视,http://39.135.140.104:6610/PLTV/88888888/224/3221225611/1/index.m3u8?fmt=ts2hls#http://39.135.140.104:6610/PLTV/88888888/224/3221226196/1/index.m3u8?fmt=ts2hls
重庆卫视,http://39.135.140.104:6610/PLTV/88888888/224/3221225612/1/index.m3u8?fmt=ts2hls
河北卫视,http://39.135.140.104:6610/PLTV/88888888/224/3221225610/1/index.m3u8?fmt=ts2hls
湖北卫视,http://39.135.140.104:6610/PLTV/88888888/224/3221225596/1/index.m3u8?fmt=ts2hls
深圳卫视,http://39.135.140.104:6610/PLTV/88888888/224/3221225598/1/index.m3u8?fmt=ts2hls
北京卫视,http://39.135.140.104:6610/PLTV/88888888/224/3221225674/1/index.m3u8?fmt=ts2hls#http://39.135.140.104:6610/PLTV/88888888/224/3221225600/1/index.m3u8?fmt=ts2hls#http://39.135.140.104:6610/PLTV/88888888/224/3221225673/1/index.m3u8?fmt=ts2hls
云南卫视,http://39.135.140.104:6610/PLTV/88888888/224/3221225664/1/index.m3u8?fmt=ts2hls
东南卫视,http://39.135.140.104:6610/PLTV/88888888/224/3221225657/1/index.m3u8?fmt=ts2hls
辽宁卫视,http://39.135.140.104:6610/PLTV/88888888/224/3221225601/1/index.m3u8?fmt=ts2hls
内蒙古卫视,http://39.137.49.76:8080/PLTV/88888910/224/3221225667/index.m3u8#http://39.135.140.104:6610/PLTV/88888888/224/3221225667/1/index.m3u8?fmt=ts2hls
东方卫视,http://39.135.140.104:6610/PLTV/88888888/224/3221225659/1/index.m3u8?fmt=ts2hls
广东卫视,http://39.135.140.104:6610/PLTV/88888888/224/3221225597/1/index.m3u8?fmt=ts2hls
黑龙江卫视,http://39.135.140.104:6610/PLTV/88888888/224/3221225586/1/index.m3u8?fmt=ts2hls
东南卫视,http://39.135.140.104:6610/PLTV/88888888/224/3221225585/1/index.m3u8?fmt=ts2hls
吉林卫视,http://39.135.140.104:6610/PLTV/88888888/224/3221225680/1/index.m3u8?fmt=ts2hls
江西卫视,http://39.135.140.104:6610/PLTV/88888888/224/3221225746/1/index.m3u8?fmt=ts2hls3
山东教育卫视,http://39.135.140.104:6610/PLTV/88888888/224/3221225719/1/index.m3u8?fmt=ts2hls
海南卫视,http://39.135.140.104:6610/PLTV/88888888/224/3221225722/1/index.m3u8?fmt=ts2hls
江苏卫视,http://39.135.140.104:6610/PLTV/88888888/224/3221225702/1/index.m3u8?fmt=ts2hls
黑龙江卫视,http://39.135.140.104:6610/PLTV/88888888/224/3221225690/1/index.m3u8?fmt=ts2hls
重庆卫视,http://39.135.140.104:6610/PLTV/88888888/224/3221225692/1/index.m3u8?fmt=ts2hls
贵州卫视,http://39.135.140.104:6610/PLTV/88888888/224/3221225728/1/index.m3u8?fmt=ts2hls#http://39.135.140.104:6610/PLTV/88888888/224/3221225735/1/index.m3u8?fmt=ts2hls
重庆卫视,http://39.135.140.104:6610/PLTV/88888888/224/3221225734/1/index.m3u8?fmt=ts2hls
天津卫视,http://39.135.140.104:6610/PLTV/88888888/224/3221225698/1/index.m3u8?fmt=ts2hls
山西卫视,http://39.135.140.104:6610/PLTV/88888888/224/3221225730/1/index.m3u8?fmt=ts2hls
西藏卫视,http://39.135.140.104:6610/PLTV/88888888/224/3221225723/1/index.m3u8?fmt=ts2hls
天津卫视,http://39.135.140.104:6610/PLTV/88888888/224/3221225739/1/index.m3u8?fmt=ts2hls
江苏卫视,http://39.135.140.104:6610/PLTV/88888888/224/3221225743/1/index.m3u8?fmt=ts2hls
安徽卫视,http://39.135.140.104:6610/PLTV/88888888/224/3221225691/1/index.m3u8?fmt=ts2hls
山东卫视,http://39.135.140.104:6610/PLTV/88888888/224/3221225697/1/index.m3u8?fmt=ts2hls
宁夏卫视,http://39.135.140.104:6610/PLTV/88888888/224/3221225726/1/index.m3u8?fmt=ts2hls
四川卫视,http://39.135.140.104:6610/PLTV/88888888/224/3221225733/1/index.m3u8?fmt=ts2hls
陕西卫视,http://39.135.140.104:6610/PLTV/88888888/224/3221225729/1/index.m3u8?fmt=ts2hls
兵团卫视,http://39.135.140.104:6610/PLTV/88888888/224/3221226200/1/index.m3u8?fmt=ts2hls
海南卫视,http://39.135.140.104:6610/PLTV/88888888/224/3221226212/1/index.m3u8?fmt=ts2hls
广东卫视,http://39.135.140.104:6610/PLTV/88888888/224/3221225701/1/index.m3u8?fmt=ts2hls
湖北卫视,http://39.135.140.104:6610/PLTV/88888888/224/3221225699/1/index.m3u8?fmt=ts2hls
浙江卫视,http://39.135.140.104:6610/PLTV/88888888/224/3221225703/1/index.m3u8?fmt=ts2hls
青海卫视,http://39.135.140.104:6610/PLTV/88888888/224/3221225727/1/index.m3u8?fmt=ts2hls
甘肃卫视,http://39.135.140.104:6610/PLTV/88888888/224/3221225724/1/index.m3u8?fmt=ts2hls
新疆卫视,http://39.135.140.104:6610/PLTV/88888888/224/3221225725/1/index.m3u8?fmt=ts2hls
湖南卫视,http://39.135.140.104:6610/PLTV/88888888/224/3221225704/1/index.m3u8?fmt=ts2hls
黑龙江卫视,http://39.135.140.104:6610/PLTV/88888888/224/3221225736/1/index.m3u8?fmt=ts2hls
浙江卫视,http://39.135.140.104:6610/PLTV/88888888/224/3221225744/1/index.m3u8?fmt=ts2hls
河北卫视,http://39.135.140.104:6610/PLTV/88888888/224/3221225732/1/index.m3u8?fmt=ts2hls
广西卫视,http://39.135.140.104:6610/PLTV/88888888/224/3221225731/1/index.m3u8?fmt=ts2hls
深圳卫视,http://39.135.140.104:6610/PLTV/88888888/224/3221225700/1/index.m3u8?fmt=ts2hls
湖南卫视,http://39.135.140.104:6610/PLTV/88888888/224/3221225745/1/index.m3u8?fmt=ts2hls
安徽卫视,http://39.135.140.104:6610/PLTV/88888888/224/3221225737/1/index.m3u8?fmt=ts2hls
深圳卫视,http://39.135.140.104:6610/PLTV/88888888/224/3221225741/1/index.m3u8?fmt=ts2hls
湖北卫视,http://39.135.140.104:6610/PLTV/88888888/224/3221225740/1/index.m3u8?fmt=ts2hls
广东卫视,http://39.135.140.104:6610/PLTV/88888888/224/3221225742/1/index.m3u8?fmt=ts2hls
山东卫视,http://39.135.140.104:6610/PLTV/88888888/224/3221225738/1/index.m3u8?fmt=ts2hls
辽宁卫视,http://39.135.140.104:6610/PLTV/88888888/224/3221225696/1/index.m3u8?fmt=ts2hls
厦门卫视,http://39.135.140.104:6610/PLTV/88888888/224/3221226199/1/index.m3u8?fmt=ts2hls
广东大湾区卫视,http://39.135.140.104:6610/PLTV/88888888/224/3221226203/1/index.m3u8?fmt=ts2hls
四川康巴卫视,http://39.135.140.104:6610/PLTV/88888888/224/3221226263/1/index.m3u8?fmt=ts2hls#http://39.135.140.104:6610/PLTV/88888888/224/3221226207/1/index.m3u8?fmt=ts2hls
农林卫视,http://39.135.140.104:6610/PLTV/88888888/224/3221226204/1/index.m3u8?fmt=ts2hls
广西卫视,http://39.135.140.104:6610/PLTV/88888888/224/3221226211/1/index.m3u8?fmt=ts2hls
江西卫视,http://39.135.140.104:6610/PLTV/88888888/224/3221225705/1/index.m3u8?fmt=ts2hls
江西都市,http://39.137.49.76:8080/PLTV/88888888/224/3221225584/10000100000000060000000000000162_0.smil/index.m3u8#http://39.135.140.104:6610/PLTV/88888888/224/3221225584/1/index.m3u8?fmt=ts2hls
江西经济生活,http://39.135.140.104:6610/PLTV/88888888/224/3221226206/1/index.m3u8?fmt=ts2hls
江西影视旅游,http://39.135.140.104:6610/PLTV/88888888/224/3221226291/1/index.m3u8?fmt=ts2hls
江西公共农业,http://39.135.140.104:6610/PLTV/88888888/224/3221225578/1/index.m3u8?fmt=ts2hls
江西少儿,http://39.135.140.104:6610/PLTV/88888888/224/3221226194/1/index.m3u8?fmt=ts2hls
江西新闻,http://39.135.140.104:6610/PLTV/88888888/224/3221225615/1/index.m3u8?fmt=ts2hls
江西移动电视,http://39.135.140.104:6610/PLTV/88888888/224/3221226285/1/index.m3u8?fmt=ts2hls
江西教育,http://39.135.140.104:6610/PLTV/88888888/224/3221226197/1/index.m3u8?fmt=ts2hls
咪咕视频1,http://39.135.140.104:6610/PLTV/88888888/224/3221226240/1/index.m3u8?fmt=ts2hls
咪咕视频2,http://39.135.140.104:6610/PLTV/88888888/224/3221226238/1/index.m3u8?fmt=ts2hls
咪咕视频3,http://39.135.140.104:6610/PLTV/88888888/224/3221226235/1/index.m3u8?fmt=ts2hls
咪咕视频4,http://39.135.140.104:6610/PLTV/88888888/224/3221226241/1/index.m3u8?fmt=ts2hls
北京纪实科教,http://39.135.140.104:6610/PLTV/88888888/224/3221225675/1/index.m3u8?fmt=ts2hls
纪实人文,http://39.135.140.104:6610/PLTV/88888888/224/3221225654/1/index.m3u8?fmt=ts2hls
纪实人文,http://39.135.140.104:6610/PLTV/88888888/224/3221225609/1/index.m3u8?fmt=ts2hls
纪实人文,http://39.135.140.104:6610/PLTV/88888888/224/3221225655/1/index.m3u8?fmt=ts2hls
北京纪实科教,http://39.135.140.104:6610/PLTV/88888888/224/3221225676/1/index.m3u8?fmt=ts2hls
金鹰纪实,http://39.135.140.104:6610/PLTV/88888888/224/3221225595/1/index.m3u8?fmt=ts2hls
金鹰纪实,http://39.135.140.104:6610/PLTV/88888888/224/3221226198/1/index.m3u8?fmt=ts2hls
新华全球连线,http://39.135.140.104:6610/PLTV/88888888/224/3221226298/1/index.m3u8?fmt=ts2hls
梨园频道,http://39.135.140.104:6610/PLTV/88888888/224/3221225581/1/index.m3u8?fmt=ts2hls
金鹰卡通,http://39.135.140.104:6610/PLTV/88888888/224/3221225554/1/index.m3u8?fmt=ts2hls
炫动卡通,http://39.135.140.104:6610/PLTV/88888888/224/3221225560/1/index.m3u8?fmt=ts2hls
金鹰卡通,http://39.135.140.104:6610/PLTV/88888888/224/3221226246/1/index.m3u8?fmt=ts2hls
动画世界,http://39.135.140.104:6610/PLTV/88888888/224/3221226272/1/index.m3u8?fmt=ts2hls
嘉佳卡通,http://39.135.140.104:6610/PLTV/88888888/224/3221226193/1/index.m3u8?fmt=ts2hls
精品萌宠,http://39.135.140.104:6610/PLTV/88888888/224/3221226245/1/index.m3u8?fmt=ts2hls
金鹰卡通,http://39.135.140.104:6610/PLTV/88888888/224/3221225721/1/index.m3u8?fmt=ts2hls
优漫卡通,http://39.135.140.104:6610/PLTV/88888888/224/3221225665/1/index.m3u8?fmt=ts2hls
黑莓动画,http://39.135.140.104:6610/PLTV/88888888/224/3221225672/1/index.m3u8?fmt=ts2hls3http://39.135.140.104:6610/PLTV/88888888/224/3221225672/1/index.m3u8?fmt=ts2hls
炫动卡通,http://39.135.140.104:6610/PLTV/88888888/224/3221225720/1/index.m3u8?fmt=ts2hls
畅享影院,http://39.135.140.104:6610/PLTV/88888888/224/3221226300/1/index.m3u8?fmt=ts2hls
北京少儿,http://39.135.140.104:6610/PLTV/88888888/224/3221225677/1/index.m3u8?fmt=ts2hls
优购物,http://39.135.140.104:6610/PLTV/88888888/224/3221225970/1/index.m3u8?fmt=ts2hls
风尚购物,http://39.135.140.104:6610/PLTV/88888888/224/3221225972/1/index.m3u8?fmt=ts2hls
快乐购物,http://39.135.140.104:6610/PLTV/88888888/224/3221226190/1/index.m3u8?fmt=ts2hls
优购物,http://39.135.140.104:6610/PLTV/88888888/224/3221225712/1/index.m3u8?fmt=ts2hls
家有购物,http://39.135.140.104:6610/PLTV/88888888/224/3221225975/1/index.m3u8?fmt=ts2hls
超级体育,http://39.135.140.104:6610/PLTV/88888888/224/3221225656/1/index.m3u8?fmt=ts2hls
怡伴健康,http://39.135.140.104:6610/PLTV/88888888/224/3221225666/1/index.m3u8?fmt=ts2hls
风尚购物,http://39.135.140.104:6610/PLTV/88888888/224/3221226239/1/index.m3u8?fmt=ts2hls
东北热剧,http://39.135.140.104:6610/PLTV/88888888/224/3221226202/1/index.m3u8?fmt=ts2hls
健康练习,http://39.135.140.104:6610/PLTV/88888888/224/3221226261/1/index.m3u8?fmt=ts2hls
体育,http://39.135.140.104:6610/PLTV/88888888/224/3221226243/1/index.m3u8?fmt=ts2hls
欢乐剧场,http://39.135.140.104:6610/PLTV/88888888/224/3221226210/1/index.m3u8?fmt=ts2hls
超级电影,http://39.135.140.104:6610/PLTV/88888888/224/3221225623/1/index.m3u8?fmt=ts2hls
哒啵电竞,http://39.135.140.104:6610/PLTV/88888888/224/3221226265/1/index.m3u8?fmt=ts2hls
湖南茶频道,http://39.135.140.104:6610/PLTV/88888888/224/3221225781/1/index.m3u8?fmt=ts2hls
央广购物,http://39.135.140.104:6610/PLTV/88888888/224/3221225974/1/index.m3u8?fmt=ts2hls
优购物,http://39.135.140.104:6610/PLTV/88888888/224/3221225660/1/index.m3u8?fmt=ts2hls
黑莓电影,http://39.135.140.104:6610/PLTV/88888888/224/3221225764/1/index.m3u8?fmt=ts2hls#http://39.135.140.104:6610/PLTV/88888888/224/3221225769/1/index.m3u8?fmt=ts2hls
超级电影,http://39.135.140.104:6610/PLTV/88888888/224/3221225766/1/index.m3u8?fmt=ts2hls
